2297,401,2451,371,2199.915067803897,371,
2303,404,2486,363,2200.3791485656548,363,
2279,416,2552,336,2203.7405893316322,336,
2196,454,2528,334,2202.1515982343253,334,
2194,454,2533,309,2202.4486089301645,309,
2194,454,2527,294,2202.0943628101254,294,
2194,457,2528,273,2202.1515982343253,273,
2194,472,2546,253,2203.3048189824176,253,
2195,476,2571,241,2205.2876038265745,241,
2195,476,2590,238,2207.0849646076786,238,
2195,476,2621,240,2210.543009385231,240,
2195,476,2637,257,2212.577330612904,257,
2191,475,2635,281,2212.313885564671,281,
2191,466,2632,294,2211.923604777504,294,
2191,465,2628,303,2211.4123792647606,303,
2184,465,2633,302,2212.0530459498027,302,
2172,466,2641,299,2213.1120166023798,299,
2172,466,2637,305,2212.577330612904,305,
2172,466,2587,332,2206.784716277948,332,
2166,466,2560,342,2204.361151885376,342,
2141,464,2540,350,2202.8946301070264,350,
2137,463,2544,347,2203.1652395732253,347,
2137,463,2498,347,2200.7523076274815,347,
2137,463,2409,372,2200.6214751802413,372,
2114,463,2367,405,2202.7600790359675,405,
2104,463,2375,428,2202.2395778995556,428,
2103,463,2378,440,2202.0582548097027,440,
2103,463,2379,448,2201.999487878809,448,
2095,463,2379,448,2201.999487878809,448,
2080,463,2370,447,2202.558572660342,447,
2077,463,2367,445,2202.7600790359675,445,
2076,463,2367,441,2202.7600790359675,441,
2067,463,2366,425,2202.828937636375,425,
2047,463,2366,408,2202.828937636375,408,
2044,463,2359,392,2203.3346891143938,392,
2044,463,2345,382,2204.4717203303894,382,
2038,463,2323,380,2206.601356457978,380,
2017,463,2303,374,2208.907648849733,374,
2014,462,2289,370,2210.73567092327,370,
2014,462,2272,370,2213.1958161156526,370,
2014,462,2258,373,2215.422673137547,373,
2006,460,2243,374,2218.012895423353,374,
1987,456,2217,374,2218.578732642659,374,
1985,455,2201,372,2207.6485924156955,372,
1985,455,2199,368,2206.284234481786,368,
1985,455,2188,364,2198.787801775451,364,
1983,455,2182,361,2194.7041907681632,361,
